node,위도,경도,범죄주의구간,인접노드,도로폭
1,37.48863,126.92405,1,16!162!3,5.8!4.8!6.4
2,37.48887,126.92543,2,8!162!4!7,6.6!5.3!8.0!5.3
3,37.48819,126.92414,1,1!4!5,5.7!5.2!6.5
4,37.48844,126.92558,2,2!3!6,7.7!5.3!7.3
5,37.48773,126.92431,1,3!6!15,6.0!6.4!5.1
6,37.48798,126.9257,2,4!5!9!17,7.6!5.1!5.2!7.6
7,37.48856,126.92695,2,2!12!9,5.3!5.3!5.4
8,37.48907,126.9254,2,33!161!2,6.9!3.7!6.6
9,37.48824,126.92704,2,7!10!6!18,5.5!5.3!5.2!5.4
10,37.48838,126.9276,1,9!11!19,5.1!5.1!5.2
11,37.48856,126.92823,2,14!10!27,25.3!5.2!24.5
12,37.48906,126.9268,4,26!56!7,5.4!4.7!5.3
13,37.48942,126.92698,4,55!26!121,54.4!5.5!54.9
14,37.48893,126.92804,3,121!26!11,25.2!5.0!24.6
15,37.48727,126.92444,2,5!17!20,5.3!5.1!5.2
16,37.48908,126.92391,1,58!1!161,6.6!5.8!3.9
17,37.4875,126.92583,2,6!15!18!22,7.7!5.2!5.0!6.6
18,37.48776,126.92717,4,17!9!19!24,5.1!5.3!0.5!5.3
19,37.48778,126.92785,3,10!18!25,5.2!0.5!5.1
20,37.48679,126.92461,3,158!15!21!35,7.6!5.1!14.4!5.1
21,37.4869,126.92523,2,20!60!37,14.2!13.7!3.4
22,37.48705,126.92598,3,17!60!23!39,6.5!12.9!13.3!6.5
23,37.48722,126.9271,4,22!24!41,14.8!15.5!5.6
24,37.48728,126.92737,5,23!18!25!57,15.6!5.3!15.2!4.2
25,37.48741,126.92803,5,19!24!27!59,5.2!14.8!13.9!4.5
26,37.48924,126.92691,4,13!12!14,5.3!5.3!5.6
27,37.48755,126.92877,4,11!25!28!61,24.8!15.2!5.7!28.2
28,37.48775,126.92945,4,29!27!32!65,4.9!5.6!5.6!5.9
29,37.48865,126.92906,2,121!30!28,53.9!53.8!4.9
30,37.48836,126.92968,2,29!31,53.8!54.5
31,37.48806,126.93033,2,30!32!34,54.5!6.1!53.4
32,37.48773,126.93012,4,31!28!66!72,6.1!5.5!4.2!4.9
33,37.48934,126.92531,2,54!58!56!8,7.0!5.0!4.6!6.9
34,37.48734,126.93192,3,31!122!72,54.3!54.0!3.8
35,37.48635,126.92476,4,20!37!42,5.2!6.1!5.1
37,37.48647,126.9255,2,35!21!38!44,5.7!3.4!5.5!4.1
38,37.48652,126.92585,3,60!37!39!45,3.0!5.5!5.7!3.1
39,37.48659,126.92616,3.5,22!38!40!46,6.6!5.7!5.6!9.4
40,37.48669,126.92677,4.5,39!41!47,5.5!5.6!3.0
41,37.48675,126.92726,5,23!40!48,5.6!5.6!5.8
42,37.48585,126.92485,4,157!35!43,6.9!5.1!5.2
43,37.48592,126.92519,4,42!44!49,5.2!5.1!5.1
44,37.48605,126.92578,3,37!43!45!50,4.1!5.1!5.1!5.2
45,37.48608,126.92612,4,38!44!46!133,3.1!5.1!5.0!3.0
46,37.48615,126.92635,4,39!45!159!51,7.7!5.1!5.6!6.6
47,37.48626,126.927,5,159!40!48!52,5.6!3.0!5.6!4.4
48,37.48634,126.92735,5,41!47!53,5.5!5.6!5.5
49,37.48552,126.92545,4,43!50,5.2!5.2
50,37.4856,126.9261,4,44!49!133!74,5.0!5.2!5.3!3.9
51,37.48567,126.92651,5,133!46!160!75,5.2!6.4!5.2!7.2
52,37.4858,126.92716,5,160!47!53!76,5.5!5.0!5.3!4.3
53,37.48581,126.92751,5,48!52!130!77,5.5!5.0!3.3!5.8
54,37.48972,126.92538,2,120!55!33,54.4!52.1!6.5
55,37.48955,126.92634,3,54!56!13,52.1!3.1!53.0
56,37.48915,126.92617,3,55!33!12,3.1!4.5!4.5
57,37.48617,126.92793,6,24!59!62,4.3!5.2!4.4
58,37.48943,126.92384,1,120!16!33,4.6!6.3!4.7
59,37.48632,126.92856,8,25!57!61!63,4.6!3.4!5.2!3.1
60,37.48695,126.9256,2,21!22!38,13.7!13.1!3.0
61,37.48655,126.92921,8,27!59!64,25.1!3.8!24.2
62,37.4859,126.92802,6,130!57!124!81,3.5!3.5!3.3!4.0
63,37.48612,126.92866,9,124!59!64!125,3.3!4.6!5.2!3.1
64,37.48631,126.92927,9,63!61!65!136,5.3!24.6!5.6!24.0
65,37.48653,126.93002,8,28!64!66!137,4.0!5.5!5.1!4.9
66,37.4867,126.9305,7,32!65!166!71,4.1!5.1!4.9!5.6
67,37.48651,126.93144,4,166!72!68,4.7!5.9!4.8
68,37.48624,126.93209,3,67!69!143!165!86,4.8!3.8!5.1!4.7!4.8
69,37.48671,126.9324,2,72!165!68,4.8!4.8!3.7
70,37.48643,126.93341,1,122!165!87,7.8!4.8!6.9
71,37.48598,126.93074,6,140!139!66,5.2!5.6!5.7
72,37.487,126.93171,3.5,34!32!69!67,3.9!4.6!4.9!6.0
73,37.48532,126.92515,3,135!157!156,2.4!8.4!15.6
74,37.48512,126.92603,5,50!163!134!78!135,4.0!5.8!5.7!2.1!2.6
75,37.48514,126.92669,6,134!51!126!79,5.7!6.8!5.6!6.2
76,37.48526,126.92733,5,52!126!77!128,5.1!5.8!5.5!4.0
77,37.4853,126.92764,4,53!76!129,5.6!5.6!5.6
78,37.48476,126.92641,6,74!134!164,2.1!4.0!3.9
79,37.48478,126.92692,7,75!127!93,5.9!6.3!4.1
80,37.48489,126.92758,5,128!129!94,7.6!7.8!3.8
81,37.48504,126.9283,5,131!62!82,7.1!3.8!7.4
82,37.48509,126.92864,6,81!124!125,7.5!3.1!6.8
83,37.48527,126.92956,8,136!125!84!88,25.1!7.4!5.3!27.1
84,37.4854,126.9303,9,138!83!85,4.9!5.1!5.2
85,37.4855,126.93086,7,139!84!141!90,5.6!5.1!5.3!3.8
86,37.48576,126.93226,4.5,68!142!87!91,4.8!5.2!5.2!4.8
87,37.48592,126.93344,2,70!86!92,6.9!5.1!8.2
88,37.48491,126.92975,7.5,83!89!90,26.9!28.3!7.9
89,37.48461,126.92952,10,88!95!94,28.5!40.6!39.5
90,37.4851,126.93099,8,85!88!91!95,3.8!6.7!7.9!3.8
91,37.48527,126.93243,7,86!90!92!96,4.8!7.5!7.1!4.8
92,37.48542,126.93342,3,91!87!118!154,8.6!7.5!7.0!6.2
93,37.48408,126.92734,8,155!79!132,17.2!3.8!43.6
94,37.48416,126.92804,7,132!80!89,42.0!3.9!42.0
95,37.48455,126.93106,6,89!90!96,36.7!3.7!37.7
96,37.48477,126.93247,7,95!91!97,39.8!4.8!39.0
97,37.48491,126.93343,4,96!154!117,39.9!6.0!40.2
117,37.485,126.93418,3,97!153!152,39.2!18.3!40.0
118,37.48543,126.93416,3,92!148!123!153,7.6!6.5!19.3!18.3
120,37.48974,126.92382,0,58!54,4.6!55.6
121,37.48911,126.92803,3,14!13!29,25.6!55.9!53.4
122,37.4867,126.93346,1,34!70!123,54.0!7.8!55.2
123,37.4864,126.9342,1,122!118!144,55.2!20.8!41.3
124,37.48596,126.92824,5,62!63!82,3.4!3.5!3.0
125,37.48516,126.929,6,82!83!63,6.5!7.1!3.0
126,37.4852,126.92704,4,75!76!127,5.4!5.4!2.9
127,37.48482,126.92718,5,79!128!132!126,6.3!7.3!4.9!2.9
128,37.48488,126.92743,5,127!80!129!76,7.3!3.7!7.4!3.5
129,37.48495,126.92773,4,80!77!131,7.4!5.4!6.8
130,37.48582,126.92776,4,53!62!131,3.3!3.3!4.2
131,37.48498,126.92796,4,129!81!130,6.8!7.1!4.2
132,37.48415,126.92768,7,93!94!127,43.3!43.4!4.8
133,37.48563,126.92626,3,50!51!45!134,5.0!5.0!3.0!4.7
134,37.48513,126.92634,4,133!74!75!78,5.1!5.5!5.5!3.9
135,37.48533,126.92535,3,73!163!74,0.6!4.7!2.8!
136,37.48612,126.92938,9,64!137!83,23.8!2.1!23.6
137,37.48628,126.93005,7,65!138!136,4.8!4.8!2.1
138,37.48563,126.93026,8,137!84!139,4.8!4.8!3.0
139,37.48572,126.93076,6,138!85!71,3.0!5.4!5.4
140,37.48601,126.93107,4,71!141!143,5.0!4.0!5.0
141,37.48555,126.9312,6,85!140!142,5.0!4.0!4.7
142,37.48568,126.93188,5,141!143!86,5.0!5.0!5.0
143,37.48611,126.93176,4,68!140!142,5.0!5.0!5.0
144,37.48616,126.93489,1,148!145!123,5.0!52.5!41.3
145,37.48601,126.93527,1,144!146!149,52.5!31.1!3.8
146,37.48586,126.9356,1,145!147!150,31.1!38.4!3.0
147,37.48568,126.93601,1,146!151,38.4!5.5
148,37.48545,126.93492,2,144!118!149,5.0!6.0!6.0
149,37.48547,126.93525,2,148!145!150,6.0!3.5!6.0
150,37.48545,126.93562,2,149!146!151,6.0!3.0!6.0
151,37.48543,126.93587,2,150!147!152,6.0!5.5!5.6
152,37.48499,126.93575,2,151!117,5.5!42.0
153,37.4852,126.93416,4,118!117!154,18.3!18.3!2.2
154,37.48514,126.93345,4,92!97!153,6.2!6.2!2.2
155,37.48444,126.92603,4,164!156!93,3.9!16.0!17.5
156,37.48481,126.92548,5,163!155!73,5.6!14.0!15.5
157,37.48571,126.92467,3,42!73!158,6.7!8.6!9.2
158,37.48664,126.92386,3,20!157,5.0!8.2
159,37.48622,126.92684,4,46!47!160,5.6!5.6!4.4
160,37.48574,126.92693,4,51!52!159,5.2!5.2!4.7
161,37.48906,126.92491,1,16!162!8,3.6!3.1!3.6
162,37.48879,126.92489,1,161!1!2,3.0!4.4!5.3
163,37.48497,126.92572,4,135!74!156!164,4.6!5.8!5.6!4.6
164,37.48458,126.92621,6,155!78!163,3.9!3.9!4.6
165,37.48639,126.93308,1,70!68!69,4.8!4.8!4.6
166,37.48676,126.9309,5,66!67,4.8!5.0
